Stand_ID;soil;stand_age
LP_S_MID_E_2070_L_5;rhyolite;20
LP_S_MID_E_2070_L_6;rhyolite;20
LP_S_MID_E_2070_L_7;rhyolite;50
LP_S_MID_E_2070_L_8;rhyolite;50
LP_S_MID_E_2070_L_9;rhyolite;50
LP_S_MID_E_2070_L_10;rhyolite;100
LP_S_MID_E_2070_L_11;rhyolite;100
LP_S_MID_E_2070_L_12;rhyolite;100
LP_S_MID_E_2070_L_13;andesite;10
LP_S_MID_E_2070_L_14;andesite;10
LP_S_MID_E_2070_L_15;andesite;10
LP_S_MID_E_2070_L_16;andesite;20
LP_S_MID_E_2070_L_17;andesite;20
LP_S_MID_E_2070_L_18;andesite;20
LP_S_MID_E_2070_L_19;andesite;50
LP_S_MID_E_2070_L_20;andesite;50
LP_S_MID_E_2070_L_21;andesite;50
LP_S_MID_E_2070_L_22;andesite;100
LP_S_MID_E_2070_L_23;andesite;100
LP_S_MID_E_2070_L_24;andesite;100
LP_S_HIGH_E_2070_L_1;rhyolite;10
LP_S_HIGH_E_2070_L_2;rhyolite;10
LP_S_HIGH_E_2070_L_3;rhyolite;10
LP_S_HIGH_E_2070_L_4;rhyolite;20
LP_S_HIGH_E_2070_L_5;rhyolite;20
LP_S_HIGH_E_2070_L_6;rhyolite;20
LP_S_HIGH_E_2070_L_7;rhyolite;50
LP_S_HIGH_E_2070_L_8;rhyolite;50
LP_S_HIGH_E_2070_L_9;rhyolite;50
LP_S_HIGH_E_2070_L_10;rhyolite;100
LP_S_HIGH_E_2070_L_11;rhyolite;100
LP_S_HIGH_E_2070_L_12;rhyolite;100
LP_S_HIGH_E_2070_L_13;andesite;10
LP_S_HIGH_E_2070_L_14;andesite;10
LP_S_HIGH_E_2070_L_15;andesite;10
LP_S_HIGH_E_2070_L_16;andesite;20
LP_S_HIGH_E_2070_L_17;andesite;20
LP_S_HIGH_E_2070_L_18;andesite;20
LP_S_HIGH_E_2070_L_19;andesite;50
LP_S_HIGH_E_2070_L_20;andesite;50
LP_S_HIGH_E_2070_L_21;andesite;50
LP_S_HIGH_E_2070_L_22;andesite;100
LP_S_HIGH_E_2070_L_23;andesite;100
LP_S_HIGH_E_2070_L_24;andesite;100
LP_NS_LOW_E_HIST_1;rhyolite;10
LP_NS_LOW_E_HIST_2;rhyolite;10
LP_NS_LOW_E_HIST_3;rhyolite;10
LP_NS_LOW_E_HIST_4;rhyolite;20
LP_NS_LOW_E_HIST_5;rhyolite;20
LP_NS_LOW_E_HIST_6;rhyolite;20
LP_NS_LOW_E_HIST_7;rhyolite;50
LP_NS_LOW_E_HIST_8;rhyolite;50
LP_NS_LOW_E_HIST_9;rhyolite;50
LP_NS_LOW_E_HIST_10;rhyolite;100
LP_NS_LOW_E_HIST_11;rhyolite;100
LP_NS_LOW_E_HIST_12;rhyolite;100
LP_NS_LOW_E_HIST_13;andesite;10
LP_NS_LOW_E_HIST_14;andesite;10
LP_NS_LOW_E_HIST_15;andesite;10
LP_NS_LOW_E_HIST_16;andesite;20
LP_NS_LOW_E_HIST_17;andesite;20
LP_NS_LOW_E_HIST_18;andesite;20
LP_NS_LOW_E_HIST_19;andesite;50
LP_NS_LOW_E_HIST_20;andesite;50
LP_NS_LOW_E_HIST_21;andesite;50
LP_NS_LOW_E_HIST_22;andesite;100
LP_NS_LOW_E_HIST_23;andesite;100
LP_NS_LOW_E_HIST_24;andesite;100
LP_NS_MID_E_HIST_1;rhyolite;10
LP_NS_MID_E_HIST_2;rhyolite;10
LP_NS_MID_E_HIST_3;rhyolite;10
LP_NS_MID_E_HIST_4;rhyolite;20
LP_NS_MID_E_HIST_5;rhyolite;20
LP_NS_MID_E_HIST_6;rhyolite;20
LP_NS_MID_E_HIST_7;rhyolite;50
LP_NS_MID_E_HIST_8;rhyolite;50
LP_NS_MID_E_HIST_9;rhyolite;50
LP_NS_MID_E_HIST_10;rhyolite;100
