id x y modelclimatetableName modelsiteavailableNitrogen modelsitesoilDepth modelsitepctSand modelsitepctSilt modelsitepctClay
437 4 12 low_rcp_45_2030 45 30 34 33 33
438 5 12 low_rcp_45_2030 45 30 34 33 33
439 6 12 low_rcp_45_2030 45 30 34 33 33
440 7 12 low_rcp_45_2030 45 30 34 33 33
441 8 12 low_rcp_45_2030 45 30 34 33 33
442 9 12 low_rcp_45_2030 45 30 34 33 33
443 10 12 low_rcp_45_2030 45 30 34 33 33
444 11 12 low_rcp_45_2030 45 30 34 33 33
445 12 12 low_rcp_45_2030 55 30 34 33 33
446 13 12 low_rcp_45_2030 55 30 34 33 33
447 14 12 low_rcp_45_2030 55 30 34 33 33
448 15 12 low_rcp_45_2030 55 30 34 33 33
449 16 12 low_rcp_45_2030 55 30 34 33 33
450 17 12 low_rcp_45_2030 55 30 34 33 33
451 18 12 low_rcp_45_2030 55 30 34 33 33
452 19 12 low_rcp_45_2030 55 30 34 33 33
453 20 12 low_rcp_45_2030 55 30 34 33 33
454 21 12 low_rcp_45_2030 55 30 34 33 33
455 22 12 low_rcp_45_2030 55 30 34 33 33
456 23 12 low_rcp_45_2030 55 30 34 33 33
457 24 12 mid_rcp_45_2030 45 30 34 33 33
458 25 12 mid_rcp_45_2030 45 30 34 33 33
459 26 12 mid_rcp_45_2030 45 30 34 33 33
460 27 12 mid_rcp_45_2030 45 30 34 33 33
461 28 12 mid_rcp_45_2030 45 30 34 33 33
462 29 12 mid_rcp_45_2030 45 30 34 33 33
463 30 12 mid_rcp_45_2030 45 30 34 33 33
464 31 12 mid_rcp_45_2030 45 30 34 33 33
465 32 12 mid_rcp_45_2030 45 30 34 33 33
466 33 12 mid_rcp_45_2030 45 30 34 33 33
467 34 12 mid_rcp_45_2030 45 30 34 33 33
468 35 12 mid_rcp_45_2030 45 30 34 33 33
469 0 13 mid_rcp_45_2030 55 30 34 33 33
470 1 13 mid_rcp_45_2030 55 30 34 33 33
471 2 13 mid_rcp_45_2030 55 30 34 33 33
472 3 13 mid_rcp_45_2030 55 30 34 33 33
473 4 13 mid_rcp_45_2030 55 30 34 33 33
474 5 13 mid_rcp_45_2030 55 30 34 33 33
475 6 13 mid_rcp_45_2030 55 30 34 33 33
476 7 13 mid_rcp_45_2030 55 30 34 33 33
477 8 13 mid_rcp_45_2030 55 30 34 33 33
478 9 13 mid_rcp_45_2030 55 30 34 33 33
479 10 13 mid_rcp_45_2030 55 30 34 33 33
480 11 13 mid_rcp_45_2030 55 30 34 33 33
481 12 13 high_rcp_45_2030 45 30 34 33 33
482 13 13 high_rcp_45_2030 45 30 34 33 33
483 14 13 high_rcp_45_2030 45 30 34 33 33
484 15 13 high_rcp_45_2030 45 30 34 33 33
485 16 13 high_rcp_45_2030 45 30 34 33 33
486 17 13 high_rcp_45_2030 45 30 34 33 33
487 18 13 high_rcp_45_2030 45 30 34 33 33
488 19 13 high_rcp_45_2030 45 30 34 33 33
489 20 13 high_rcp_45_2030 45 30 34 33 33
490 21 13 high_rcp_45_2030 45 30 34 33 33
491 22 13 high_rcp_45_2030 45 30 34 33 33
492 23 13 high_rcp_45_2030 45 30 34 33 33
493 24 13 high_rcp_45_2030 55 30 34 33 33
