rid,Stand_ID,model climate name,soil,stand_age,distance,species
132,LP_S_HIGH_E_2030_H_12,high_4.5_2030,rhyolite,100,1000,LPS
133,LP_S_HIGH_E_2030_H_13,high_4.5_2030,andesite,10,50,LPS
134,LP_S_HIGH_E_2030_H_14,high_4.5_2030,andesite,10,500,LPS
135,LP_S_HIGH_E_2030_H_15,high_4.5_2030,andesite,10,1000,LPS
136,LP_S_HIGH_E_2030_H_16,high_4.5_2030,andesite,20,50,LPS
137,LP_S_HIGH_E_2030_H_17,high_4.5_2030,andesite,20,500,LPS
138,LP_S_HIGH_E_2030_H_18,high_4.5_2030,andesite,20,1000,LPS
139,LP_S_HIGH_E_2030_H_19,high_4.5_2030,andesite,50,50,LPS
140,LP_S_HIGH_E_2030_H_20,high_4.5_2030,andesite,50,500,LPS
141,LP_S_HIGH_E_2030_H_21,high_4.5_2030,andesite,50,1000,LPS
142,LP_S_HIGH_E_2030_H_22,high_4.5_2030,andesite,100,50,LPS
143,LP_S_HIGH_E_2030_H_23,high_4.5_2030,andesite,100,500,LPS
144,LP_S_HIGH_E_2030_H_24,high_4.5_2030,andesite,100,1000,LPS
145,LP_S_LOW_E_2030_L_1,low_8_2030,rhyolite,10,50,LPS
146,LP_S_LOW_E_2030_L_2,low_8_2030,rhyolite,10,500,LPS
147,LP_S_LOW_E_2030_L_3,low_8_2030,rhyolite,10,1000,LPS
148,LP_S_LOW_E_2030_L_4,low_8_2030,rhyolite,20,50,LPS
149,LP_S_LOW_E_2030_L_5,low_8_2030,rhyolite,20,500,LPS
150,LP_S_LOW_E_2030_L_6,low_8_2030,rhyolite,20,1000,LPS
151,LP_S_LOW_E_2030_L_7,low_8_2030,rhyolite,50,50,LPS
152,LP_S_LOW_E_2030_L_8,low_8_2030,rhyolite,50,500,LPS
153,LP_S_LOW_E_2030_L_9,low_8_2030,rhyolite,50,1000,LPS
154,LP_S_LOW_E_2030_L_10,low_8_2030,rhyolite,100,50,LPS
155,LP_S_LOW_E_2030_L_11,low_8_2030,rhyolite,100,500,LPS
156,LP_S_LOW_E_2030_L_12,low_8_2030,rhyolite,100,1000,LPS
157,LP_S_LOW_E_2030_L_13,low_8_2030,andesite,10,50,LPS
158,LP_S_LOW_E_2030_L_14,low_8_2030,andesite,10,500,LPS
159,LP_S_LOW_E_2030_L_15,low_8_2030,andesite,10,1000,LPS
160,LP_S_LOW_E_2030_L_16,low_8_2030,andesite,20,50,LPS
161,LP_S_LOW_E_2030_L_17,low_8_2030,andesite,20,500,LPS
162,LP_S_LOW_E_2030_L_18,low_8_2030,andesite,20,1000,LPS
163,LP_S_LOW_E_2030_L_19,low_8_2030,andesite,50,50,LPS
164,LP_S_LOW_E_2030_L_20,low_8_2030,andesite,50,500,LPS
165,LP_S_LOW_E_2030_L_21,low_8_2030,andesite,50,1000,LPS
166,LP_S_LOW_E_2030_L_22,low_8_2030,andesite,100,50,LPS
167,LP_S_LOW_E_2030_L_23,low_8_2030,andesite,100,500,LPS
168,LP_S_LOW_E_2030_L_24,low_8_2030,andesite,100,1000,LPS
169,LP_S_MID_E_2030_L_1,mid_8_2030,rhyolite,10,50,LPS
170,LP_S_MID_E_2030_L_2,mid_8_2030,rhyolite,10,500,LPS
171,LP_S_MID_E_2030_L_3,mid_8_2030,rhyolite,10,1000,LPS
172,LP_S_MID_E_2030_L_4,mid_8_2030,rhyolite,20,50,LPS
173,LP_S_MID_E_2030_L_5,mid_8_2030,rhyolite,20,500,LPS
174,LP_S_MID_E_2030_L_6,mid_8_2030,rhyolite,20,1000,LPS
175,LP_S_MID_E_2030_L_7,mid_8_2030,rhyolite,50,50,LPS
176,LP_S_MID_E_2030_L_8,mid_8_2030,rhyolite,50,500,LPS
