SiteAbbrev;Site Full Name;Group 1999;Group2012;New GPS 2012;PICO_dens;logPICO;totANPP;PICOANPP;liveallsp;liveabla;livepial;livepien;livepsme;livepotr;standBA;HerbANPP;GramANPP;ForbANPP;ShrubANPP;Easting;Northing;Elevation;substrat;dNBR3x3_MTBSA;dunb_MTBSA;QuadRichness;PlotRichness
MonBay;Monument Bay;Extensive;Extensive;n;533;2.73;3.18;1.08;633;0;0;100;0;0;4.485;2.104;0.81;1.271;0.023;555213;4903261;2369;4;598;80;32;39
MonBayPT;Monument Bay Pack Trail South;Extensive;Extensive;n;2967;3.47;5.37;3.39;3833;33;0;433;0;400;14.775;1.979;0.631;1.098;0.25;556383;4902983;2378;4;660;60;36;52
MtHolmCk;Mt. Holmes Creek;Extensive;Extensive;n;8000;3.9;5.65;3.93;8533;33;433;67;0;0;18.37;1.72;0.542;0.939;0.239;516396;4962011;2341;2;632;59;18;48
MtHolTrH;Mt. Holmes Trail High;Extensive;Extensive;n;14200;4.15;11.82;11.07;14333;0;100;0;0;33;52.54;0.747;0.184;0.382;0.182;516737;4963063;2413;2;715;491;7;16
MtWasRd;Mt. Washburn Rd. South;Extensive;Extensive;n;12700;4.1;6.89;4.73;13167;200;0;267;0;0;22.84;2.162;0.281;1.765;0.116;543993;4965097;2505;4;827;122;24;49
PasCkSW;Passage Creek Southwest;Extensive;Extensive;n;700;2.85;2.67;1.11;3500;1600;200;967;0;33;4.994;1.56;0.201;1.082;0.277;557142;4895468;2607;4;605;371;30;41
Pitchdub;Pitchstone Double;Extensive;Extensive;n;1467;3.17;3.18;1.62;1500;0;33;0;0;0;7.452;1.557;1.118;0.396;0.042;526640;4899135;2531;3;518;27;17;34
PitchHOB;Pitchstone HOBO;Intensive;Intensive;n;2133;3.33;6.41;4.98;2267;100;0;0;0;33;23.585;1.435;1.28;0.068;0.087;528552;4900863;2390;2;584;93;14;27
Pitchsin;Pitchstone Single 88;Extensive;Extensive;y;500;2.7;2.62;0.77;633;33;0;0;0;100;3.083;1.847;1.535;0.213;0.099;526394;4899299;2528;3;695;251;19;47
RidLkHO;Riddle Lake HOBO;Intensive;Intensive;y;8100;3.91;5.91;5.2;8267;0;0;0;0;167;24.821;0.71;0.508;0.202;0;533157;4911736;2436;3;549;79;11;28
RidLkRg;Riddle Lake Ridge;Extensive;Extensive;n;2600;3.42;5.84;4.31;3067;0;333;67;0;67;19.953;1.538;0.518;0.623;0.397;536512;4910701;2451;3;837;184;17;49
RidLkW;Riddle Lake West;Intensive;Extensive;n;17233;4.24;6.73;4.86;17233;0;0;0;0;0;20.682;1.879;1.131;0.71;0.038;535008;4912531;2420;4;341;45;22;37
SEArm;Southeast Arm;Extensive;Extensive;n;733;2.87;2.94;1.18;733;0;0;0;0;0;6.674;1.756;0.471;1.259;0.025;559215;4905577;2382;4;708;183;27;34
SevMiBr;7-Mile Bridge;Extensive;Extensive;n;52533;4.72;5.83;5.12;52533;0;0;0;0;0;26.218;0.716;0.162;0.354;0.2;501643;4946704;2088;3;710;280;12;21
ShosLake;Shoshone Lake;Extensive;Extensive;n;533;2.73;3.63;1.47;533;0;0;0;0;0;5.856;2.156;1.653;0.432;0.071;528200;4910400;2432;3;448;283;17;29
SoLewCan;South Lewis Canyon;Intensive;Intensive;y;10867;4.04;10.14;8.25;11200;333;0;0;0;0;37.854;1.89;1.265;0.277;0.348;527134;4893995;2370;2;481;102;4;16
SumLkCrp;Summit Lake Creepy;Extensive;Extensive;n;0;0;1.56;0;0;0;0;0;0;0;0;1.556;0.687;0.869;0;502348;4917486;2609;3;601;191;20;24
SumLkNE;Summit Lake Northeast;Extensive;Extensive;n;1167;3.07;1.98;0.75;1933;67;300;33;0;367;4.464;1.226;0.599;0.452;0.175;505414;4920912;2547;3;861;313;16;33
SumLkNo;Summit Lake North;Extensive;Extensive;n;2733;3.44;2.42;0.8;3000;0;200;0;0;67;4.197;1.612;0.923;0.361;0.328;504761;4920146;2596;3;714;219;12;31
SumLkSE;Summit Lake Southeast;Extensive;Extensive;n;500;2.7;1.42;0.15;500;0;0;0;0;0;0.525;1.268;0.674;0.517;0.077;506346;4916929;2615;3;737;252;16;30
SumLkSW;Summit Lake Southwest;Extensive;Extensive;n;33;1.54;1.2;0;33;0;0;0;0;0;0.012;1.198;0.585;0.581;0.032;503695;4915621;2606;3;697;246;18;26
TurbLkNo;Turbid Lake North;Extensive;Extensive;y;9700;3.99;7.09;5.41;10100;0;0;267;0;133;22.462;1.68;0.865;0.421;0.394;559062;4931975;2428;3;448;41;16;55
UpPasCk;Upper Passage Creek;Extensive;Extensive;n;67;1.83;2.74;0.11;267;67;33;100;0;0;0.464;2.627;0.423;1.735;0.469;557420;4895610;2577;4;708;222;31;42
WesThuMo;West Thumb Mouth;Extensive;Extensive;n;12267;4.09;9.88;8.67;12700;0;0;367;0;67;41.833;1.211;0.405;0.432;0.374;540596;4919375;2375;3;597;211;12;23
WinterCk;Winter Creek;Extensive;Extensive;n;1700;3.23;4.7;2.81;1800;0;0;67;0;33;15.822;1.886;0.712;1.13;0.045;518043;4965113;2341;2;785;143;29;53
WolfPtNo;Wolf Point North;Extensive;Extensive;n;7933;3.9;14.66;12.7;7933;0;0;0;0;0;59.105;1.957;0.845;0.835;0.277;545290;4918211;2391;1;634;466;21;36
