"stand_id";"species";"count";"height_from";"height_to";"age"
14;"PicS";2880;1.007;1.207;11
14;"PicS";2880;1.149;1.349;11
14;"PicS";2880;0.969;1.169;11
14;"PicS";2880;1.221;1.421;11
14;"PicS";2880;0.634;0.834;11
14;"PicS";2880;1.257;1.457;11
14;"PicS";2880;0.871;1.071;11
14;"PicS";2880;1.035;1.235;11
14;"PicS";2880;0.429;0.629;11
14;"PicS";2880;1.07;1.27;11
14;"PicS";2880;0.947;1.147;11
14;"PicS";2880;0.6;0.8;11
14;"PicS";2880;0.604;0.804;11
14;"PicS";2880;0.434;0.634;11
14;"PicS";2880;0.281;0.481;11
14;"PicS";2880;0.676;0.876;11
14;"PicS";2880;0.844;1.044;11
14;"PicS";2880;0.508;0.708;11
14;"PicS";2880;0.705;0.905;11
14;"PicS";2880;0.552;0.752;11
14;"PicS";2880;0.373;0.573;11
15;"PicS";2880;0.602;0.802;11
15;"PicS";2880;1.049;1.249;11
15;"PicS";2880;0.824;1.024;11
15;"PicS";2880;0.782;0.982;11
15;"PicS";2880;1.007;1.207;11
15;"PicS";2880;1.149;1.349;11
15;"PicS";2880;0.969;1.169;11
15;"PicS";2880;1.221;1.421;11
15;"PicS";2880;0.634;0.834;11
15;"PicS";2880;1.257;1.457;11
15;"PicS";2880;0.871;1.071;11
15;"PicS";2880;1.035;1.235;11
15;"PicS";2880;0.429;0.629;11
15;"PicS";2880;1.07;1.27;11
15;"PicS";2880;0.947;1.147;11
15;"PicS";2880;0.6;0.8;11
15;"PicS";2880;0.604;0.804;11
15;"PicS";2880;0.434;0.634;11
15;"PicS";2880;0.281;0.481;11
15;"PicS";2880;0.676;0.876;11
15;"PicS";2880;0.844;1.044;11
15;"PicS";2880;0.508;0.708;11
15;"PicS";2880;0.705;0.905;11
15;"PicS";2880;0.552;0.752;11
15;"PicS";2880;0.373;0.573;11
16;"PicS";2880;0.602;0.802;11
16;"PicS";2880;1.049;1.249;11
16;"PicS";2880;0.824;1.024;11
16;"PicS";2880;0.782;0.982;11
16;"PicS";2880;1.007;1.207;11
16;"PicS";2880;1.149;1.349;11
16;"PicS";2880;0.969;1.169;11
16;"PicS";2880;1.221;1.421;11
16;"PicS";2880;0.634;0.834;11
16;"PicS";2880;1.257;1.457;11
16;"PicS";2880;0.871;1.071;11
16;"PicS";2880;1.035;1.235;11
16;"PicS";2880;0.429;0.629;11
16;"PicS";2880;1.07;1.27;11
16;"PicS";2880;0.947;1.147;11
16;"PicS";2880;0.6;0.8;11
16;"PicS";2880;0.604;0.804;11
16;"PicS";2880;0.434;0.634;11
16;"PicS";2880;0.281;0.481;11
16;"PicS";2880;0.676;0.876;11
16;"PicS";2880;0.844;1.044;11
16;"PicS";2880;0.508;0.708;11
16;"PicS";2880;0.705;0.905;11
16;"PicS";2880;0.552;0.752;11
16;"PicS";2880;0.373;0.573;11
17;"PicS";2880;0.602;0.802;11
17;"PicS";2880;1.049;1.249;11
17;"PicS";2880;0.824;1.024;11
17;"PicS";2880;0.782;0.982;11
17;"PicS";2880;1.007;1.207;11
17;"PicS";2880;1.149;1.349;11
17;"PicS";2880;0.969;1.169;11
17;"PicS";2880;1.221;1.421;11
17;"PicS";2880;0.634;0.834;11
17;"PicS";2880;1.257;1.457;11
17;"PicS";2880;0.871;1.071;11
17;"PicS";2880;1.035;1.235;11
17;"PicS";2880;0.429;0.629;11
17;"PicS";2880;1.07;1.27;11
17;"PicS";2880;0.947;1.147;11
17;"PicS";2880;0.6;0.8;11
17;"PicS";2880;0.604;0.804;11
17;"PicS";2880;0.434;0.634;11
17;"PicS";2880;0.281;0.481;11
17;"PicS";2880;0.676;0.876;11
17;"PicS";2880;0.844;1.044;11
17;"PicS";2880;0.508;0.708;11
17;"PicS";2880;0.705;0.905;11
17;"PicS";2880;0.552;0.752;11
17;"PicS";2880;0.373;0.573;11
18;"PicS";2880;0.602;0.802;11
18;"PicS";2880;1.049;1.249;11
18;"PicS";2880;0.824;1.024;11
18;"PicS";2880;0.782;0.982;11
18;"PicS";2880;1.007;1.207;11
18;"PicS";2880;1.149;1.349;11
