"stand_id";"species";"count";"height_from";"height_to";"age"
12;"Pico";24;1.605;1.805;11
12;"Pico";24;0.573;0.773;11
12;"Pico";24;0.319;0.519;11
13;"Pico";24;1.998;2.198;11
13;"Pico";24;0.19;0.39;11
13;"Pico";24;1.423;1.623;11
13;"Pico";24;1.117;1.317;11
13;"Pico";24;1.89;2.09;11
13;"Pico";24;0.89;1.09;11
13;"Pico";24;0.919;1.119;11
13;"Pico";24;0.962;1.162;11
13;"Pico";24;0.82;1.02;11
13;"Pico";24;0.581;0.781;11
13;"Pico";24;0.5;0.7;11
13;"Pico";24;1.965;2.165;11
13;"Pico";24;0.456;0.656;11
13;"Pico";24;1.028;1.228;11
13;"Pico";24;1.086;1.286;11
13;"Pico";24;1.248;1.448;11
13;"Pico";24;1.272;1.472;11
13;"Pico";24;0.835;1.035;11
13;"Pico";24;0.637;0.837;11
13;"Pico";24;0.728;0.928;11
13;"Pico";24;0.845;1.045;11
13;"Pico";24;0.162;0.362;11
13;"Pico";24;1.605;1.805;11
13;"Pico";24;0.573;0.773;11
13;"Pico";24;0.319;0.519;11
14;"Pico";24;1.998;2.198;11
14;"Pico";24;0.19;0.39;11
14;"Pico";24;1.423;1.623;11
14;"Pico";24;1.117;1.317;11
14;"Pico";24;1.89;2.09;11
14;"Pico";24;0.89;1.09;11
14;"Pico";24;0.919;1.119;11
14;"Pico";24;0.962;1.162;11
14;"Pico";24;0.82;1.02;11
14;"Pico";24;0.581;0.781;11
14;"Pico";24;0.5;0.7;11
14;"Pico";24;1.965;2.165;11
14;"Pico";24;0.456;0.656;11
14;"Pico";24;1.028;1.228;11
14;"Pico";24;1.086;1.286;11
14;"Pico";24;1.248;1.448;11
14;"Pico";24;1.272;1.472;11
14;"Pico";24;0.835;1.035;11
14;"Pico";24;0.637;0.837;11
14;"Pico";24;0.728;0.928;11
14;"Pico";24;0.845;1.045;11
14;"Pico";24;0.162;0.362;11
14;"Pico";24;1.605;1.805;11
14;"Pico";24;0.573;0.773;11
14;"Pico";24;0.319;0.519;11
15;"Pico";24;1.998;2.198;11
15;"Pico";24;0.19;0.39;11
15;"Pico";24;1.423;1.623;11
15;"Pico";24;1.117;1.317;11
15;"Pico";24;1.89;2.09;11
15;"Pico";24;0.89;1.09;11
15;"Pico";24;0.919;1.119;11
15;"Pico";24;0.962;1.162;11
15;"Pico";24;0.82;1.02;11
15;"Pico";24;0.581;0.781;11
15;"Pico";24;0.5;0.7;11
15;"Pico";24;1.965;2.165;11
15;"Pico";24;0.456;0.656;11
15;"Pico";24;1.028;1.228;11
15;"Pico";24;1.086;1.286;11
15;"Pico";24;1.248;1.448;11
15;"Pico";24;1.272;1.472;11
15;"Pico";24;0.835;1.035;11
15;"Pico";24;0.637;0.837;11
15;"Pico";24;0.728;0.928;11
15;"Pico";24;0.845;1.045;11
15;"Pico";24;0.162;0.362;11
15;"Pico";24;1.605;1.805;11
15;"Pico";24;0.573;0.773;11
15;"Pico";24;0.319;0.519;11
16;"Pico";24;1.998;2.198;11
16;"Pico";24;0.19;0.39;11
16;"Pico";24;1.423;1.623;11
16;"Pico";24;1.117;1.317;11
16;"Pico";24;1.89;2.09;11
16;"Pico";24;0.89;1.09;11
16;"Pico";24;0.919;1.119;11
16;"Pico";24;0.962;1.162;11
16;"Pico";24;0.82;1.02;11
16;"Pico";24;0.581;0.781;11
16;"Pico";24;0.5;0.7;11
16;"Pico";24;1.965;2.165;11
16;"Pico";24;0.456;0.656;11
16;"Pico";24;1.028;1.228;11
16;"Pico";24;1.086;1.286;11
16;"Pico";24;1.248;1.448;11
16;"Pico";24;1.272;1.472;11
16;"Pico";24;0.835;1.035;11
16;"Pico";24;0.637;0.837;11
16;"Pico";24;0.728;0.928;11
16;"Pico";24;0.845;1.045;11
16;"Pico";24;0.162;0.362;11
16;"Pico";24;1.605;1.805;11
16;"Pico";24;0.573;0.773;11
16;"Pico";24;0.319;0.519;11
17;"Pico";24;1.998;2.198;11
17;"Pico";24;0.19;0.39;11
17;"Pico";24;1.423;1.623;11
17;"Pico";24;1.117;1.317;11
17;"Pico";24;1.89;2.09;11
17;"Pico";24;0.89;1.09;11
17;"Pico";24;0.919;1.119;11
17;"Pico";24;0.962;1.162;11
17;"Pico";24;0.82;1.02;11
17;"Pico";24;0.581;0.781;11
17;"Pico";24;0.5;0.7;11
17;"Pico";24;1.965;2.165;11
17;"Pico";24;0.456;0.656;11
17;"Pico";24;1.028;1.228;11
17;"Pico";24;1.086;1.286;11
17;"Pico";24;1.248;1.448;11
17;"Pico";24;1.272;1.472;11
17;"Pico";24;0.835;1.035;11
17;"Pico";24;0.637;0.837;11
17;"Pico";24;0.728;0.928;11
17;"Pico";24;0.845;1.045;11
17;"Pico";24;0.162;0.362;11
17;"Pico";24;1.605;1.805;11
17;"Pico";24;0.573;0.773;11
17;"Pico";24;0.319;0.519;11
18;"Pico";24;1.998;2.198;11
18;"Pico";24;0.19;0.39;11
18;"Pico";24;1.423;1.623;11
18;"Pico";24;1.117;1.317;11
18;"Pico";24;1.89;2.09;11
18;"Pico";24;0.89;1.09;11
18;"Pico";24;0.919;1.119;11
18;"Pico";24;0.962;1.162;11
18;"Pico";24;0.82;1.02;11
18;"Pico";24;0.581;0.781;11
18;"Pico";24;0.5;0.7;11
18;"Pico";24;1.965;2.165;11
18;"Pico";24;0.456;0.656;11
18;"Pico";24;1.028;1.228;11
18;"Pico";24;1.086;1.286;11
18;"Pico";24;1.248;1.448;11
18;"Pico";24;1.272;1.472;11
18;"Pico";24;0.835;1.035;11
18;"Pico";24;0.637;0.837;11
18;"Pico";24;0.728;0.928;11
18;"Pico";24;0.845;1.045;11
18;"Pico";24;0.162;0.362;11
18;"Pico";24;1.605;1.805;11
18;"Pico";24;0.573;0.773;11
18;"Pico";24;0.319;0.519;11
19;"Pico";24;1.998;2.198;11
19;"Pico";24;0.19;0.39;11
19;"Pico";24;1.423;1.623;11
19;"Pico";24;1.117;1.317;11
19;"Pico";24;1.89;2.09;11
19;"Pico";24;0.89;1.09;11
19;"Pico";24;0.919;1.119;11
19;"Pico";24;0.962;1.162;11
19;"Pico";24;0.82;1.02;11
19;"Pico";24;0.581;0.781;11
19;"Pico";24;0.5;0.7;11
19;"Pico";24;1.965;2.165;11
19;"Pico";24;0.456;0.656;11
19;"Pico";24;1.028;1.228;11
19;"Pico";24;1.086;1.286;11
19;"Pico";24;1.248;1.448;11
19;"Pico";24;1.272;1.472;11
19;"Pico";24;0.835;1.035;11
19;"Pico";24;0.637;0.837;11
19;"Pico";24;0.728;0.928;11
19;"Pico";24;0.845;1.045;11
19;"Pico";24;0.162;0.362;11
19;"Pico";24;1.605;1.805;11
19;"Pico";24;0.573;0.773;11
19;"Pico";24;0.319;0.519;11
20;"Pico";24;1.998;2.198;11
20;"Pico";24;0.19;0.39;11
20;"Pico";24;1.423;1.623;11
20;"Pico";24;1.117;1.317;11
20;"Pico";24;1.89;2.09;11
20;"Pico";24;0.89;1.09;11
20;"Pico";24;0.919;1.119;11
20;"Pico";24;0.962;1.162;11
20;"Pico";24;0.82;1.02;11
20;"Pico";24;0.581;0.781;11
20;"Pico";24;0.5;0.7;11
20;"Pico";24;1.965;2.165;11
20;"Pico";24;0.456;0.656;11
20;"Pico";24;1.028;1.228;11
20;"Pico";24;1.086;1.286;11
20;"Pico";24;1.248;1.448;11
20;"Pico";24;1.272;1.472;11
20;"Pico";24;0.835;1.035;11
20;"Pico";24;0.637;0.837;11
20;"Pico";24;0.728;0.928;11
20;"Pico";24;0.845;1.045;11
20;"Pico";24;0.162;0.362;11
20;"Pico";24;1.605;1.805;11
20;"Pico";24;0.573;0.773;11
20;"Pico";24;0.319;0.519;11
21;"Pico";24;1.998;2.198;11
21;"Pico";24;0.19;0.39;11
21;"Pico";24;1.423;1.623;11
21;"Pico";24;1.117;1.317;11
21;"Pico";24;1.89;2.09;11
21;"Pico";24;0.89;1.09;11
21;"Pico";24;0.919;1.119;11
21;"Pico";24;0.962;1.162;11
21;"Pico";24;0.82;1.02;11
21;"Pico";24;0.581;0.781;11
21;"Pico";24;0.5;0.7;11
21;"Pico";24;1.965;2.165;11
21;"Pico";24;0.456;0.656;11
21;"Pico";24;1.028;1.228;11
21;"Pico";24;1.086;1.286;11
21;"Pico";24;1.248;1.448;11
21;"Pico";24;1.272;1.472;11
21;"Pico";24;0.835;1.035;11
21;"Pico";24;0.637;0.837;11
21;"Pico";24;0.728;0.928;11
21;"Pico";24;0.845;1.045;11
21;"Pico";24;0.162;0.362;11
21;"Pico";24;1.605;1.805;11
21;"Pico";24;0.573;0.773;11
21;"Pico";24;0.319;0.519;11
22;"Pico";24;1.998;2.198;11
22;"Pico";24;0.19;0.39;11
22;"Pico";24;1.423;1.623;11
22;"Pico";24;1.117;1.317;11
22;"Pico";24;1.89;2.09;11
22;"Pico";24;0.89;1.09;11
22;"Pico";24;0.919;1.119;11
22;"Pico";24;0.962;1.162;11
22;"Pico";24;0.82;1.02;11
22;"Pico";24;0.581;0.781;11
22;"Pico";24;0.5;0.7;11
22;"Pico";24;1.965;2.165;11
22;"Pico";24;0.456;0.656;11
22;"Pico";24;1.028;1.228;11
22;"Pico";24;1.086;1.286;11
22;"Pico";24;1.248;1.448;11
22;"Pico";24;1.272;1.472;11
22;"Pico";24;0.835;1.035;11
22;"Pico";24;0.637;0.837;11
22;"Pico";24;0.728;0.928;11
22;"Pico";24;0.845;1.045;11
22;"Pico";24;0.162;0.362;11
22;"Pico";24;1.605;1.805;11
22;"Pico";24;0.573;0.773;11
22;"Pico";24;0.319;0.519;11
23;"Pico";24;1.998;2.198;11
23;"Pico";24;0.19;0.39;11
23;"Pico";24;1.423;1.623;11
23;"Pico";24;1.117;1.317;11
23;"Pico";24;1.89;2.09;11
23;"Pico";24;0.89;1.09;11
23;"Pico";24;0.919;1.119;11
23;"Pico";24;0.962;1.162;11
23;"Pico";24;0.82;1.02;11
23;"Pico";24;0.581;0.781;11
23;"Pico";24;0.5;0.7;11
23;"Pico";24;1.965;2.165;11
23;"Pico";24;0.456;0.656;11
23;"Pico";24;1.028;1.228;11
23;"Pico";24;1.086;1.286;11
23;"Pico";24;1.248;1.448;11
23;"Pico";24;1.272;1.472;11
23;"Pico";24;0.835;1.035;11
23;"Pico";24;0.637;0.837;11
23;"Pico";24;0.728;0.928;11
23;"Pico";24;0.845;1.045;11
23;"Pico";24;0.162;0.362;11
23;"Pico";24;1.605;1.805;11
23;"Pico";24;0.573;0.773;11
23;"Pico";24;0.319;0.519;11
24;"Pico";24;1.998;2.198;11
24;"Pico";24;0.19;0.39;11
24;"Pico";24;1.423;1.623;11
24;"Pico";24;1.117;1.317;11
24;"Pico";24;1.89;2.09;11
24;"Pico";24;0.89;1.09;11
24;"Pico";24;0.919;1.119;11
24;"Pico";24;0.962;1.162;11
24;"Pico";24;0.82;1.02;11
24;"Pico";24;0.581;0.781;11
24;"Pico";24;0.5;0.7;11
24;"Pico";24;1.965;2.165;11
24;"Pico";24;0.456;0.656;11
24;"Pico";24;1.028;1.228;11
24;"Pico";24;1.086;1.286;11
24;"Pico";24;1.248;1.448;11
24;"Pico";24;1.272;1.472;11
24;"Pico";24;0.835;1.035;11
24;"Pico";24;0.637;0.837;11
24;"Pico";24;0.728;0.928;11
24;"Pico";24;0.845;1.045;11
24;"Pico";24;0.162;0.362;11
24;"Pico";24;1.605;1.805;11
24;"Pico";24;0.573;0.773;11
24;"Pico";24;0.319;0.519;11
25;"Pico";24;1.998;2.198;11
25;"Pico";24;0.19;0.39;11
25;"Pico";24;1.423;1.623;11
25;"Pico";24;1.117;1.317;11
25;"Pico";24;1.89;2.09;11
25;"Pico";24;0.89;1.09;11
25;"Pico";24;0.919;1.119;11
25;"Pico";24;0.962;1.162;11
25;"Pico";24;0.82;1.02;11
25;"Pico";24;0.581;0.781;11
