"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"145"	"short"	"LPS"	9	56	"low"	"8"	"2030"	"andesite"	"100"	1479.07856653628	1.99169743186529	1.06460084589688	8.2439133559222	10537.4645243894	-85.9636199665214
"147"	"short"	"LPS"	9	57	"med"	"8"	"2030"	"rhyolite"	"10"	1577.19092659366	1.57127254495848	0.974709862125882	6.92973043496096	43019.9989660078	-96.3338192363978
"149"	"short"	"LPS"	9	58	"med"	"8"	"2030"	"rhyolite"	"20"	1924.48191489885	1.37567608765113	0.925019333628622	6.94780247906844	5716.14852268359	-66.3325417934496
"151"	"short"	"LPS"	9	59	"med"	"8"	"2030"	"rhyolite"	"50"	50772.5888416774	1.00329290967656	0.933528691348735	7.68040483043386	15970.1388311858	217.922025464995
"153"	"short"	"LPS"	9	6	"low"	"0"	"hist"	"andesite"	"20"	1166.91633238713	1.71364456877927	0.991387850848303	8.07385138303292	5540.91033680947	-78.9399888925281
"155"	"short"	"LPS"	9	60	"med"	"8"	"2030"	"rhyolite"	"100"	62014.2362967277	1.05763168522236	0.936538779253894	7.73245197797433	5362.51348431611	1056.4397269695
"157"	"short"	"LPS"	9	61	"med"	"8"	"2030"	"andesite"	"10"	1886.17355997905	1.94814838566392	1.20172680175277	8.24113008260727	43145.0461211364	-95.6282963409441
"159"	"short"	"LPS"	9	62	"med"	"8"	"2030"	"andesite"	"20"	2028.41531604182	1.80423566978066	1.11664505746372	7.78994328325445	15240.2156575109	-86.6903765561733
"161"	"short"	"LPS"	9	63	"med"	"8"	"2030"	"andesite"	"50"	53997.5598676101	1.24350837672322	1.15924096341842	9.25574397910316	20569.0138733431	162.518953023749
"163"	"short"	"LPS"	9	64	"med"	"8"	"2030"	"andesite"	"100"	41944.0228502085	1.47879922217278	1.23841287102065	8.67408440907622	6607.9942070231	534.746664965741
"165"	"short"	"LPS"	9	65	"high"	"8"	"2030"	"rhyolite"	"10"	2479.1284018573	1.67389553742731	1.07650163147635	7.43279433250427	43080.5184788805	-94.2453608048551
"167"	"short"	"LPS"	9	66	"high"	"8"	"2030"	"rhyolite"	"20"	2190.62713938868	1.76675170726142	1.06971857263577	7.20200653152772	5439.37464125067	-59.7264890935149
"169"	"short"	"LPS"	9	67	"high"	"8"	"2030"	"rhyolite"	"50"	55708.4245466246	1.14967768914885	1.07549382503114	8.13988048619025	16360.5833434145	240.503901219686
"171"	"short"	"LPS"	9	68	"high"	"8"	"2030"	"rhyolite"	"100"	67089.7099774259	1.1964218285455	1.04053689093007	7.8140312267257	3131.25326257375	2042.58331573861
"173"	"short"	"LPS"	9	69	"high"	"8"	"2030"	"andesite"	"10"	2623.58542604987	2.16522863670415	1.23697941928014	8.25525353621337	43679.9889511715	-93.9936215895505
"175"	"short"	"LPS"	9	7	"low"	"0"	"hist"	"andesite"	"50"	766.78044924058	1.91981009408625	1.18978900622438	7.85366874081748	26281.5958393127	-97.0824433419921
