"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"97"	"short"	"LP"	7	34	"med"	"4.5"	"2030"	"rhyolite"	"20"	3357.93328342205	1.21795622275912	0.850178071901865	6.84519988587759	2304.55809341451	45.7083374473248
"99"	"short"	"LP"	7	35	"med"	"4.5"	"2030"	"rhyolite"	"50"	1783.26450165134	1.71223885665174	1.02200917662267	6.82796241427368	3023.56552511069	-41.0211392198601
"101"	"short"	"LP"	7	36	"med"	"4.5"	"2030"	"rhyolite"	"100"	2817.37024715748	1.29687696103964	0.936377766010649	6.77350251428012	3105.75968984082	-9.28563287194086
"103"	"short"	"LP"	7	37	"med"	"4.5"	"2030"	"andesite"	"10"	1710.58458026467	2.4569184708521	1.33904822285236	8.42131344124123	328.839617255447	420.188107060065
"105"	"short"	"LP"	7	38	"med"	"4.5"	"2030"	"andesite"	"20"	2454.21297802706	1.80101964333031	1.03421679534928	8.32839315621428	2914.37659570223	-15.7894356670913
"107"	"short"	"LP"	7	39	"med"	"4.5"	"2030"	"andesite"	"50"	2206.78907248905	1.9638112370944	1.23319731844534	8.24324432663296	3295.58229516809	-33.0379618884166
"109"	"short"	"LP"	7	4	"low"	"0"	"hist"	"rhyolite"	"100"	1316.69543738369	1.37342956901366	0.956302561091034	7.12741748402628	2430.75200960743	-45.8317659646269
"111"	"short"	"LP"	7	40	"med"	"4.5"	"2030"	"andesite"	"100"	3199.39160496409	1.65849333528723	1.1152589356322	7.82575923595649	3602.21029113374	-11.1825422064094
"113"	"short"	"LP"	7	41	"high"	"4.5"	"2030"	"rhyolite"	"10"	2202.12832362462	1.78038090322197	1.03190616382985	7.20508003324159	322.130112890463	583.614550612793
"115"	"short"	"LP"	7	42	"high"	"4.5"	"2030"	"rhyolite"	"20"	2950.59933340879	1.48010272599337	0.918999258070537	6.91751925236937	2850.07595169791	3.52704220569946
"117"	"short"	"LP"	7	43	"high"	"4.5"	"2030"	"rhyolite"	"50"	2802.56735456282	1.58635495123229	1.03105157956348	7.08659672087732	3499.09483965124	-19.9059333058217
"119"	"short"	"LP"	7	44	"high"	"4.5"	"2030"	"rhyolite"	"100"	2938.51436156487	1.63409173357134	1.13211770107071	6.69837394120558	3148.54705692703	-6.67078152445192
"121"	"short"	"LP"	7	45	"high"	"4.5"	"2030"	"andesite"	"10"	2122.75534975376	2.36646343573931	1.29640507875378	8.43939910969644	331.601500660165	540.152516055475
"123"	"short"	"LP"	7	46	"high"	"4.5"	"2030"	"andesite"	"20"	3035.09053099645	1.98000563277226	1.15029032866229	8.51362676996934	3357.72384388115	-9.60869112189328
"125"	"short"	"LP"	7	47	"high"	"4.5"	"2030"	"andesite"	"50"	3669.00611066433	1.87587884338532	1.21680848997353	8.39227778975263	3812.04216104389	-3.75221585535661
"127"	"short"	"LP"	7	48	"high"	"4.5"	"2030"	"andesite"	"100"	3518.92058811904	1.87245221938568	1.24945591073992	8.20905761491685	3543.02769716034	-0.680409838755069
