"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"169"	"long"	"LPS"	3	67	"high"	"8"	"2030"	"rhyolite"	"50"	120078.200619279	0.512478433618854	0.489311516816643	7.49646940977886	6644.9989793442	1707.04618604967
"171"	"long"	"LPS"	3	68	"high"	"8"	"2030"	"rhyolite"	"100"	37213.3567689264	1.2715568036932	0.812062355750799	7.24279978509324	4756.69700038922	682.336078288808
"173"	"long"	"LPS"	3	69	"high"	"8"	"2030"	"andesite"	"10"	0	NA	0	0	42955.3218006724	-100
"175"	"long"	"LPS"	3	7	"low"	"0"	"hist"	"andesite"	"50"	27950.5181772395	1.11090558312028	1.03037693021443	9.92688909161232	21701.4457801087	28.7956501168168
"177"	"long"	"LPS"	3	70	"high"	"8"	"2030"	"andesite"	"20"	4053.67270342238	1.12829530799773	1.1202424303801	12.001485824585	76139.7662106911	-94.6760110975319
"179"	"long"	"LPS"	3	71	"high"	"8"	"2030"	"andesite"	"50"	75778.3575814812	1.11307519460457	1.07339416448295	5.93117007685401	14691.5038325304	415.797146740623
"181"	"long"	"LPS"	3	72	"high"	"8"	"2030"	"andesite"	"100"	28127.4335996882	1.71396338353457	0.915276342281435	7.82121446702138	4583.10308455927	513.7202912684
"183"	"long"	"LPS"	3	73	"low"	"4.5"	"2070"	"rhyolite"	"10"	0.104461009084984	2.85822010040283	2.85822010040283	0	42630.5714653699	-99.9997549622126
"185"	"long"	"LPS"	3	74	"low"	"4.5"	"2070"	"rhyolite"	"20"	12.4563866852988	0.0992866456508636	0.0992866456508636	0	5844.9370935887	-99.7868858725792
"187"	"long"	"LPS"	3	75	"low"	"4.5"	"2070"	"rhyolite"	"50"	38017.966896017	0.677624172790356	0.642779977272194	7.26630733591138	38382.5499087914	-0.949866576453883
"189"	"long"	"LPS"	3	76	"low"	"4.5"	"2070"	"rhyolite"	"100"	67892.5981016142	0.755862000477954	0.701573275924831	3.69086975405493	5902.58536169534	1050.21797977207
"191"	"long"	"LPS"	3	77	"low"	"4.5"	"2070"	"andesite"	"10"	0	NA	0	0	42836.3613240977	-100
"193"	"long"	"LPS"	3	78	"low"	"4.5"	"2070"	"andesite"	"20"	1.11763519543816	1.02384766936302	1.02384766936302	0	7662.96507285091	-99.9854151077969
"195"	"long"	"LPS"	3	79	"low"	"4.5"	"2070"	"andesite"	"50"	39070.5093861486	0.896405415259801	0.845133197424864	8.60959702753553	38221.0676257151	2.22244383320693
"197"	"long"	"LPS"	3	8	"low"	"0"	"hist"	"andesite"	"100"	24524.5209328965	1.37318567636304	1.15430136469544	9.71575731904123	5083.28081955983	382.454576157375
"199"	"long"	"LPS"	3	80	"low"	"4.5"	"2070"	"andesite"	"100"	60325.9027536531	1.07630313810473	0.943777630065071	9.41276164529687	8593.46197793084	601.997668792602
"201"	"long"	"LPS"	3	81	"med"	"4.5"	"2070"	"rhyolite"	"10"	32.1143468792543	0.210620193183422	0.210620193183422	0	43068.8522183484	-99.9254348671368
"203"	"long"	"LPS"	3	82	"med"	"4.5"	"2070"	"rhyolite"	"20"	12.4563866852988	0.100183412432671	0.100183412432671	0	5184.61823102118	-99.7597434154213
"205"	"long"	"LPS"	3	83	"med"	"4.5"	"2070"	"rhyolite"	"50"	49141.2795047365	0.822353571058716	0.777038595472765	8.17516444603602	14038.5930895786	250.044190263026
"207"	"long"	"LPS"	3	84	"med"	"4.5"	"2070"	"rhyolite"	"100"	44895.725811307	1.09074494715085	0.797695444205526	7.08072798163296	4085.48864489632	998.907125036113
"209"	"long"	"LPS"	3	85	"med"	"4.5"	"2070"	"andesite"	"10"	36.1730022729596	1.67878652123413	1.41602005582789	10.9210720062256	42387.7838452685	-99.9146617279993
"211"	"long"	"LPS"	3	86	"med"	"4.5"	"2070"	"andesite"	"20"	0	NA	0	0	18279.5055416735	-100
"213"	"long"	"LPS"	3	87	"med"	"4.5"	"2070"	"andesite"	"50"	43836.6035865985	1.30127134050292	1.22532720028668	10.9881810694496	19023.547973917	130.433374713814
"215"	"long"	"LPS"	3	88	"med"	"4.5"	"2070"	"andesite"	"100"	34979.7564604612	1.54063414202444	1.01156020313635	7.26388369363707	5011.53352630098	597.98508334593
"217"	"long"	"LPS"	3	89	"high"	"4.5"	"2070"	"rhyolite"	"10"	38.6664535168846	0.422480264317737	0.25987833738327	6.54711818695068	41588.5517998161	-99.9070262083109
"219"	"long"	"LPS"	3	9	"med"	"0"	"hist"	"rhyolite"	"10"	0	NA	0	0	43663.1838325027	-100
"221"	"long"	"LPS"	3	90	"high"	"4.5"	"2070"	"rhyolite"	"20"	119.242136635545	0.602456504429683	0.499544714456019	6.63525557518005	7932.57541883407	-98.496804249066
"223"	"long"	"LPS"	3	91	"high"	"4.5"	"2070"	"rhyolite"	"50"	65123.5334246853	1.89782811213406	1.88045849441159	4.70838569521904	11552.0934001312	463.737940553232
"225"	"long"	"LPS"	3	92	"high"	"4.5"	"2070"	"rhyolite"	"100"	28412.5493917216	1.45388729477892	0.875929224224104	7.59219189333769	3630.00366453903	682.714069114575
"227"	"long"	"LPS"	3	93	"high"	"4.5"	"2070"	"andesite"	"10"	0	NA	0	0	43206.5721744706	-100
"229"	"long"	"LPS"	3	94	"high"	"4.5"	"2070"	"andesite"	"20"	136.313127655723	0.544449660860467	0.47913106183211	9.38291358947754	21226.4029748317	-99.3578133430457
"231"	"long"	"LPS"	3	95	"high"	"4.5"	"2070"	"andesite"	"50"	50369.8939053282	1.41632219283302	1.28133596931443	9.07863156256254	21138.3814726076	138.286426851557
"233"	"long"	"LPS"	3	96	"high"	"4.5"	"2070"	"andesite"	"100"	23207.0626664442	2.03392675731508	1.11488965700296	8.34232157151685	4600.17917424573	404.481712285682
"235"	"long"	"LPS"	3	97	"low"	"8"	"2070"	"rhyolite"	"10"	74.2556776686371	0.210132458054707	0.14051493363721	5.31001138687134	43377.1781551793	-99.8288139504995
"237"	"long"	"LPS"	3	98	"low"	"8"	"2070"	"rhyolite"	"20"	0	NA	0	0	6063.22850190846	-100
"239"	"long"	"LPS"	3	99	"low"	"8"	"2070"	"rhyolite"	"50"	40551.4233882737	0.49889478179997	0.47778890534635	6.91292674031876	22086.9570088638	83.5989601102583
